
0;INEA E PCT TRANSPORTES EIRELI ;REL. FATURAS PERIODO 07/01/26 A 07/04/26;08/04/26;02:32
1;FATURA;CNPJ/CPF;CLIENTE;ABC;VENDEDOR;ULTIMO MOVIMENTO;DDD;TELEFONE;E-MAIL COBRANCA;TIPO DE COBRANCA;BANCO/CARTEIRA;AGENCIA/CONTA;PERIODICIDADE;ENDERECO;BAIRRO;CEP;UF;CIDADE;FIL;EMPRESA;EMISSAO;VENC ORI;VENCIMEN;CANCELAM;DATA PROMESSA;PAGAMENTO;DATA CREDITO CAIXA;VALOR CREDITO CAIXA;DIAS ATRASO;LIQUIDADA/ATRASADA;PROTESTADA/CARTORIO;SPC/SERASA;PRORROGADA;VLR CTRCS;VLR DEBITO;VLR CREDITO;MOTIVO_DEBITO/CREDITO;VLR FATUR;JURPREV;MULTAPREV;JUROS;DESCONTO;PGTO PARCIAL;VLR PAGO;SALDO;TIPO BAIXA;NRO TIT BCO;LOGIN EMIT;ULTIMA OCORRENCIA;UNIDADE RESPONSAVEL;PRE-FATURA (EDI);DATA PERDA;DDD TELEFONE COBRANCA;TELEFONE COBRANCA;
2;0006119-1;75339051000141�;DOCOL INDUSTRIA E COMERCIO LTD;A2;ALEXSANDRO OLIVEIRA FAGUNDES  ;07/04/26;47;34511343 ;nfedocol@docol.com.br,samoel.stopa@docol.com.br,patricia.furtado@docol.com.br;CARTEIRA  ;MATRIZ                        ;                    ;MENSAL              ;AV. EDMUNDO DOUBRAWA,1001     ;ZONA IND. NORTE     ;89219-502 ;SC;JOINVILLE                     ;JOI;  1;11/01/26;08/02/26;08/02/26;NAO TEM ;;10/02/26;DIVERSAS;      8.496,20;   2;LIQUIDADO;;;;      8.496,20;          0,00;          0,00;;      8.496,20;          1,13;          0,00;          0,00;          0,00;          0,00;      8.496,20;          0,00;Manual  ;           0 ;nilza   ;LIQUIDACAO MANUAL DA FATURA (op 457) BC:341 AG:2798 CT:18850;JOI;0;        ;  ;         
2;0006120-4;75339051001385�;DOCOL INDUSTRIA E COMERCIO LTD;A2;ALEXSANDRO OLIVEIRA FAGUNDES  ;07/04/26;47;35126072 ;samoel.stopa@docol.com.br,patricia.furtado@docol.com.br;CARTEIRA  ;MATRIZ                        ;                    ;DIARIO              ;RUA EIXO INDUSTRIAL HELLMU,800;ZONA INDUSTRIAL NORT;89219-512 ;SC;JOINVILLE                     ;JOI;  1;11/01/26;08/02/26;08/02/26;NAO TEM ;;10/02/26;DIVERSAS;      1.085,02;   2;LIQUIDADO;;;;      1.085,02;          0,00;          0,00;;      1.085,02;          0,14;          0,00;          0,00;          0,00;          0,00;      1.085,02;          0,00;Manual  ;           0 ;nilza   ;LIQUIDACAO MANUAL DA FATURA (op 457) BC:341 AG:2798 CT:18850;JOI;0;        ;  ;         
2;0006121-2;75339051000141�;DOCOL INDUSTRIA E COMERCIO LTD;A2;ALEXSANDRO OLIVEIRA FAGUNDES  ;07/04/26;47;34511343 ;nfedocol@docol.com.br,samoel.stopa@docol.com.br,patricia.furtado@docol.com.br;CARTEIRA  ;MATRIZ                        ;                    ;MENSAL              ;AV. EDMUNDO DOUBRAWA,1001     ;ZONA IND. NORTE     ;89219-502 ;SC;JOINVILLE                     ;JOI;  1;11/01/26;08/02/26;08/02/26;NAO TEM ;;03/03/26;DIVERSAS;        341,46;  23;LIQUIDADO;;;;        341,46;          0,00;          0,00;;        341,46;          0,52;          0,00;          0,00;          0,00;          0,00;        341,46;          0,00;Manual  ;           0 ;nilza   ;LIQUIDACAO MANUAL DA FATURA (op 457) BC:341 AG:2798 CT:18850;JOI;0;        ;  ;         
2;0006122-1;23635798000496�;SCHULZ COMPRESSORES LTDA      ;.2;ALEXSANDRO OLIVEIRA FAGUNDES  ;06/01/26;47;34516000 ;edi.automotiva@schulz.com.br,  nf-e@schulzautomotiva.com.br,victoria.pereira@schulz.com.br,leticia.esser@schulz.com.br,keila.santos@schulz.com.br,mayra.ziemer@schulz.com.br;BANCO     ;BANCO ITAU S.A.               ;02798 - 000018850   ;DIARIO              ;RUA DONA FRANCISCA,6901-A     ;ZONA INDUSTRIAL NORT;89219-600 ;SC;JOINVILLE                     ;JOI;  1;12/01/26;11/02/26;11/02/26;NAO TEM ;;11/02/26;12/02/2026;         99,11;    ;LIQUIDADO;;;;         99,11;          0,00;          0,00;;         99,11;          0,00;          0,00;          0,00;          0,00;          0,00;         99,11;          0,00;Bancaria;        2789 ;nilza   ;LIQUIDACAO NORMAL;JOI;0;        ;  ;         
2;0006123-9;23635798000143�;SCHULZ COMPRESSORES SA        ;C2;ALEXSANDRO OLIVEIRA FAGUNDES,A;11/03/26;47;34516412 ;nf-e@schulz.com.br,mayra.ziemer@schulz.com.br,keila.santos@schulz.com.br,aline.kricheldorf@schulz.com.br,ketlyn.mafra@schulz.com.br;BANCO     ;BANCO ITAU S.A.               ;02798 - 000018850   ;DIARIO              ;RUA DONA FRANCISCA,6901 A     ;ZONA INDUSTRIAL NORT;89219-600 ;SC;JOINVILLE                     ;JOI;  1;12/01/26;11/02/26;11/02/26;NAO TEM ;;11/02/26;12/02/2026;      3.149,59;    ;LIQUIDADO;;;;      3.149,59;          0,00;          0,00;;      3.149,59;          0,00;          0,00;          0,00;          0,00;          0,00;      3.149,59;          0,00;Bancaria;        2800 ;nilza   ;LIQUIDACAO NORMAL;JOI;0;        ;  ;         
2;0006124-7;23635798000143�;SCHULZ COMPRESSORES SA        ;C2;ALEXSANDRO OLIVEIRA FAGUNDES,A;11/03/26;47;34516412 ;nf-e@schulz.com.br,mayra.ziemer@schulz.com.br,keila.santos@schulz.com.br,aline.kricheldorf@schulz.com.br,ketlyn.mafra@schulz.com.br;BANCO     ;BANCO ITAU S.A.               ;02798 - 000018850   ;DIARIO              ;RUA DONA FRANCISCA,6901 A     ;ZONA INDUSTRIAL NORT;89219-600 ;SC;JOINVILLE                     ;JOI;  1;12/01/26;11/02/26;30/03/26;NAO TEM ;;30/03/26;31/03/2026;        135,36;    ;LIQUIDADO;;;PRORROGADA;        135,36;          0,00;          0,00;;        135,36;          0,00;          0,00;          0,00;          0,00;          0,00;        135,36;          0,00;Bancaria;        2791 ;nilza   ;LIQUIDACAO NORMAL;JOI;0;        ;  ;         
2;0006125-5;34095439000167�;ARTEMIS ARTIGOS DE CACA E PESC;C.;ARIO DOS SANTOS               ;30/03/26;47;34401477 ;pedido.artemis@hotmail.com,adm.artemis@hotmail.com;BANCO     ;SICREDI                       ;02602 - 000021961   ;SEMANAL             ;R VEREADOR GUILHERME ZUEGE,320;PIRABEIRABA         ;89239-300 ;SC;JOINVILLE                     ;JOI;  1;12/01/26;26/01/26;26/01/26;NAO TEM ;;26/01/26;27/01/2026;        256,06;    ;LIQUIDADO;;;;        256,06;          0,00;          0,00;;        256,06;          0,00;          0,00;          0,00;          0,00;          0,00;        256,06;          0,00;Bancaria;    26201183 ;nilza   ;FATURA IMPRESSA PELO CLIENTE;JOI;0;        ;  ;         
2;0006126-3;42002082000153�;CASA DI MATTEO LTDA           ;B2;ARIO DOS SANTOS               ;06/04/26;47;32730101 ;logistica@claw.ind.br,financeiro1@claw.ind.br;BANCO     ;SICREDI                       ;02602 - 000021961   ;DIARIO              ;R LENO NICOLUZZI,178          ;AGUA VERDE          ;89254-620 ;SC;JARAGUA DO SUL                ;JOI;  1;12/01/26;26/01/26;26/01/26;NAO TEM ;;26/01/26;27/01/2026;      5.090,37;    ;LIQUIDADO;;;;      5.090,37;          0,00;          0,00;;      5.090,37;          0,00;          0,00;          0,00;          0,00;          0,00;      5.090,37;          0,00;Bancaria;    26201184 ;nilza   ;DEBITO DE CUSTAS;JOI;0;        ;  ;         
2;0006127-1;13890656000179�;CLAW COML IMPORTADORA E EXPORT;B2;ARIO DOS SANTOS               ;07/04/26;47;32730101 ;financeiro1@claw.ind.br;BANCO     ;SICREDI                       ;02602 - 000021961   ;SEMANAL             ;RUA LENO NICOLUZZI,280        ;AGUA VERDE          ;89254-620 ;SC;JARAGUA DO SUL                ;JOI;  1;12/01/26;26/01/26;26/01/26;NAO TEM ;;26/01/26;27/01/2026;      9.555,17;    ;LIQUIDADO;;;;      9.555,17;          0,00;          0,00;;      9.555,17;          0,00;          0,00;          0,00;          0,00;          0,00;      9.555,17;          0,00;Bancaria;    26201185 ;nilza   ;DEBITO DE CUSTAS;JOI;0;        ;  ;         
2;0006128-0;06913480002616�;DIMENSIONAL BRASIL SOLUCOES LT;C2;ALEXSANDRO OLIVEIRA FAGUNDES  ;01/04/26;47;34273318 ;isabella.lima@sonepar.com.br, igor.silva@sonepar.com.br, contasapagar@sonepar.com.br, samuel.david@sonepar.com.br;CARTEIRA  ;MATRIZ                        ;                    ;DIARIO              ;ESTR. MUNICIPAL VEREADOR ,3300;PALMITAL            ;89248-000 ;SC;GARUVA                        ;JOI;  1;12/01/26;11/02/26;11/02/26;NAO TEM ;;11/02/26;11/02/2026;      4.127,23;    ;LIQUIDADO;;;;      4.127,23;          0,00;          0,00;;      4.127,23;          0,00;          0,00;          0,00;          0,00;          0,00;      4.127,23;          0,00;Manual  ;           0 ;nilza   ;LIQUIDACAO MANUAL DA FATURA (op 457) BC:748 AG:2602 CT:21961;JOI;0;        ;  ;         
2;0006129-8;11040609000100�;H. D. LOG TRANSPORTES LTDA - M;.1;                              ;07/04/26;21;33057650 ;contasapagar@hdlog.com.br;CARTEIRA  ;MATRIZ                        ;                    ;MENSAL              ;R PADRE GUILHERME DECAMIN,1950;SANTA CRUZ          ;23575-000 ;RJ;RIO DE JANEIRO                ;RJO;  1;12/01/26;02/02/26;02/02/26;NAO TEM ;;        ;;;  65;ATRASADA;;;;      8.445,60;          0,00;          0,00;;      8.445,60;         36,60;          0,00;          0,00;          0,00;          0,00;          0,00;      8.445,60;        ;           0 ;nilza   ;E-MAIL (Atraso de Liquidacao) VISUALIZADO POR contasapagar@hdlog.com.br. ID [0100019c668308fe-eff8f54c-59c5-41e7-b267-0d5df0e4b378-000000];RJO;0;        ;  ;         
